시점,구별(1),전체_소계,시세_소계,구세_소계,시세_취득세,시세_레저세,시세_주민세,시세_자동차세,시세_담배소비세,시세_재산세,시세_지방소득세,시세_지방소비세,구세_등록면허세,구세_주민세,구세_재산세,구세_종합토지세,구세_면허세,구세_지방소득세,구세_지방소비세,목적세_시세_지역자원시설세,목적세_시세_지방교육세,목적세_구세_사업소세,과년도수입_시셰_소계,과년도수입_구셰_소계
2022년,강서구,"1,016,439","832,680","183,759","298,883",320,"36,405","35,272",-,"140,707","225,133",-,"21,831",-,"148,317",-,0,-,"12,752","20,729","66,007",-,"9,225",860
2022년,구로구,"695,321","556,698","138,623","194,217",221,"19,725","26,110",-,"86,407","173,704",-,"15,248",-,"111,829",-,-,-,"11,080","11,675","38,597",-,"6,041",467
2022년,금천구,"591,185","468,424","122,761","182,163",133,"22,065","16,195",-,"56,772","141,826",-,"12,968",-,"100,989",-,-,-,"8,555","13,515","31,678",-,"4,079",249
2022년,영등포구,"1,967,085","1,751,661","215,424","298,021","20,990","86,461","28,733",-,"183,229","1,017,148",-,"41,708",-,"165,142",-,-,-,"7,611","24,400","84,124",-,"8,554",964
2022년,동작구,"560,523","417,589","142,935","143,175",217,"7,811","22,234",-,"104,949","90,364",-,"9,037",-,"123,021",-,-,-,"10,528","6,642","37,067",-,"5,129",349
2022년,관악구,"473,021","343,361","129,660","128,723","5,582","5,937","21,357",-,"76,845","60,223",-,"8,480",-,"108,379",-,-,-,"12,338","7,277","31,429",-,"5,988",463
2022년,서초구,"2,611,033","2,260,111","350,921","522,794",218,"68,563","40,995",-,"439,657","990,424",-,"38,369",-,"306,070",-,-,0,"4,570","24,503","152,141",-,"20,818","1,912"
2022년,강남구,"4,870,051","4,265,461","604,590","939,617","11,170","142,551","56,490",-,"765,111","1,996,875",-,"104,122",-,"490,634",-,-,-,"5,373","45,437","285,619",-,"22,591","4,461"
2022년,송파구,"1,853,951","1,548,867","305,085","423,903",358,"45,841","51,720",-,"381,796","478,215",-,"27,862",-,"267,617",-,-,-,"8,555","27,330","129,287",-,"10,418","1,051"
2022년,강동구,"752,478","587,458","165,020","168,175","10,935","14,663","29,546",-,"151,105","142,989",-,"9,992",-,"144,457",-,-,-,"10,151","10,124","53,743",-,"6,178",420
